review_score,delivery_delay_days,actual_delivery_days,is_late
1,-3.352105941524165,21.31057357826272,0.37639700604942067
2,-7.823665311559487,16.732138282353663,0.2066334991708126
3,-10.07324777483541,14.27933616449897,0.11072492552135055
4,-11.677500215798126,12.318001114855665,0.05042016806722689
5,-12.687719543230076,10.692353357455726,0.030082424793938016
